"Cremant de Loire";"2010";"40";"AOC-AOP"
"Cremant de Loire";"2011";"30";"AOC-AOP"
"Cremant de Loire";"2012";"20";"AOC-AOP"
"Cremant de Loire";"2013";"20";"AOC-AOP"
"Haut-Poitou";"2013";"5";"AOC-AOP"
"Muscadet";"2010";"30";"AOC-AOP"
"Muscadet";"2011";"20";"AOC-AOP"
"Muscadet";"2012";"30";"AOC-AOP"
"Muscadet";"2013";"20";"AOC-AOP"
"Muscadet Coteaux de la Loire";"2013";"5";"AOC-AOP"
"Rose d'Anjou";"2010";"40";"AOC-AOP"
"Rose d'Anjou";"2011";"20";"AOC-AOP"
"Rose d'Anjou";"2012";"30";"AOC-AOP"
"Rose d'Anjou";"2013";"20";"AOC-AOP"
"Rosé de Loire";"2010";"40";"AOC-AOP"
"Rosé de Loire";"2011";"20";"AOC-AOP"
"Rosé de Loire";"2012";"20";"AOC-AOP"
"Rosé de Loire";"2013";"20";"AOC-AOP"
"Saint-Nicolas-de-Bourgueil";"2010";"40";"AOC-AOP"
"Saint-Nicolas-de-Bourgueil";"2011";"30";"AOC-AOP"
"Saint-Nicolas-de-Bourgueil";"2012";"20";"AOC-AOP"
"Saint-Nicolas-de-Bourgueil";"2013";"20";"AOC-AOP"
"Saint-Pourçain";"2010";"40";"IGP"
"Saint-Pourçain";"2011";"30";"IGP"
"Saint-Pourçain";"2012";"20";"AOC-AOP"
"Saint-Pourçain";"2013";"20";"AOC-AOP"
"Sancerre";"2010";"40";"AOC-AOP"
"Sancerre";"2011";"30";"AOC-AOP"
"Sancerre";"2012";"30";"AOC-AOP"
"Sancerre";"2013";"20";"AOC-AOP"
"Saumur";"2010";"40";"AOC-AOP"
"Saumur";"2011";"30";"AOC-AOP"
"Saumur";"2012";"30";"AOC-AOP"
"Saumur";"2013";"20";"AOC-AOP"
"Calvados";"2010";"40";"IGP"
"Calvados";"2011";"30";"IGP"
"Calvados";"2012";"20";"IGP"
"Calvados";"2013";"15";"IGP"
"Comtes Rhodaniens";"2013";"5";"IGP"
